pais;nodo;anio;anio_esp;anio_nacimiento;edad_contienda;anios_adultez;ratio.kb_edad;ratio.edad_in.stat;ratio.edad_out.stat;candidato;id_candidato;partidos;votos;exito;estrategia;presidencia;vicepresidencia;ministerio;gobernatura;ejercito;corte_suprema;legislatura;alcaldia;partido_politico;empresas;soc_civil;mov_rev;org_relig;kb;intra;para;sub;exa;ana;in_state;out_state
ARG;30;1892;;1822;70;52;9.90;8.56;1.35;Luis de Sáenz Peña;LSaenz;PAN;95.02;Ganador;Mantiene;0;0;0;90;0;72;238;0;45;40;30;0;0;515;0;400;45;70;0;0.86;0.14
ARG;31;1892;;1822;70;52;14.65;13.27;1.38;Bernardo de Irigoyen;Birigoyen;UCR;2.26;Perdedor;Alterna;0;0;550;0;0;0;0;0;140;40;0;32;0;762;550;0;140;40;32;0.91;0.09
ARG;32;1892;;1821;71;53;33.60;31.34;2.26;Bartolomé Mitre;BMitre;UCN;2.26;Perdedor;Recupera;260;0;0;280;756;0;105;0;260;80;0;40;0;1781;260;1141;260;80;40;0.93;0.07
ARG;33;1895;;1831;64;46;21.20;20.33;0.87;José Evaristo Uriburu;JUriburu;PAN;0;De facto;Interino;0;120;473;90;0;0;252;0;0;40;0;0;0;975;593;342;0;40;0;0.96;0.04
ARG;34;1898;;1843;55;37;27.14;27.14;0.00;Julio Argentino Roca;JArgentino;PAN;85.16;Ganador;Recupera;130;0;220;0;396;0;168;0;90;0;0;0;0;1004;350;564;90;0;0;1;0
ARG;35;1898;;1821;77;59;33.59;31.05;2.54;Bartolomé Mitre;BMitre;UCN;14.84;Perdedor;Recupera;260;0;0;280;756;0;231;0;305;80;30;40;0;1982;260;1267;305;110;40;0.92;0.08
ARG;36;1904;;1835;69;51;17.33;16.75;0.59;Manuel Pedro Quintana;MQuintana;PAN;81.36;Ganador;Mantiene;0;0;319;0;0;0;490;0;45;0;30;0;0;884;319;490;45;30;0;0.97;0.03
ARG;37;1904;;1828;76;58;24.24;23.55;0.69;José Félix Evaristo Uriburu;JUriburu;PRepublicano;11.53;Perdedor;Alterna;260;120;473;90;0;0;378;0;45;40;0;0;0;1406;853;468;45;40;0;0.97;0.03
ARG;38;1904;;1835;69;51;18.29;18.29;0.00;Marco Aurelio Avellaneda;MAvellaneda;PAN;4.75;Perdedor;Mantiene;0;0;594;0;0;0;294;0;45;0;0;0;0;933;594;294;45;0;0;1;0
ARG;39;1904;;1855;49;31;3.87;3.87;0.00;Mauricio Pastor Daract;MPastor;Independiente;2.03;Perdedor;Alterna;0;0;0;0;0;64;56;0;0;0;0;0;0;120;0;120;0;0;0;1;0
ARG;40;1904;;1846;58;40;25.35;25.35;0.00;Carlos Enrique José Pellegrini;CPellegrini;PAN;0.33;Perdedor;Mantiene;130;120;308;0;117;0;224;0;115;0;0;0;0;1014;558;341;115;0;0;1;0
ARG;41;1906;;1860;46;28;12.71;11.86;0.86;José María Cornelio del Corazón de Jesús Figueroa Alcorta;JFigueroaA;PAN;0;De facto;Interino;0;120;0;100;0;0;112;0;0;0;24;0;0;356;120;212;0;24;0;0.93;0.07
ARG;42;1910;;1851;59;41;21.20;20.61;0.59;Roque José Antonio del Sagrado Corazón de Jesús Sáenz Peña Lahitte;RSaenz;PAN;99.6;Ganador;Mantiene;0;0;280;0;243;0;182;0;140;0;24;0;0;869;280;425;140;24;0;0.97;0.03
ARG;43;1910;;1859;51;33;6.91;5.09;0.00;Adolfo Contte;AContte;PLCO;0.4;Perdedor;Alterna;0;0;0;0;0;0;168;0;0;60;0;0;0;228;0;168;0;0;0;0.74;0
ARG;44;1914;;1840;74;56;15.14;15.14;0.00;Victorino de la Plaza;VPlaza;PAN;0;De facto;Interino;0;120;440;0;288;0;0;0;0;0;0;0;0;848;560;288;0;0;0;1;0
ARG;45;1916;;1852;64;46;11.52;5.98;5.54;Juan Hipólito del Sagrado Corazón de Jesús Yrigoyen;HYrigoyen;UCR;47.25;Ganador;Alterna;0;0;0;0;0;0;112;18;145;160;15;80;0;530;0;112;163;175;80;0.52;0.48
ARG;46;1916;;1851;65;47;17.38;15.09;2.30;Angel Dolores Rojas;ADolores;Conservador;20.83;Perdedor;Alterna;0;0;0;440;0;0;224;0;45;108;0;0;0;817;0;664;45;108;0;0.87;0.13
ARG;47;1916;;1868;48;30;10.57;8.57;2.00;Nicolás Lisandro de la Torre;LTorre;PDP;18.76;Perdedor;Alterna;0;0;0;0;0;0;112;0;145;40;0;20;0;317;0;112;145;40;20;0.81;0.19
