Source,Target,Type,Id,Label,Weight
141,144,Directed,e310,,1
142,140,Directed,e311,,1
143,142,Directed,e312,,1
144,46,Directed,e313,,1
144,140,Directed,e314,,1
145,20,Directed,e315,,1
145,43,Directed,e316,,1
145,146,Directed,e317,,1
147,21,Directed,e318,,1
147,25,Directed,e319,,1
147,26,Directed,e320,,1
147,28,Directed,e321,,1
147,39,Directed,e322,,1
147,54,Directed,e323,,1
147,55,Directed,e324,,1
147,58,Directed,e325,,1
147,148,Directed,e326,,1
148,21,Directed,e327,,1
149,21,Directed,e328,,1
149,26,Directed,e329,,1
149,30,Directed,e330,,1
149,45,Directed,e331,,1
149,46,Directed,e332,,1
150,22,Directed,e333,,1
151,16,Directed,e334,,1
153,17,Directed,e335,,1
155,16,Directed,e336,,1
